"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case26_MS_Fuelactivitytest","cuesz.membersummarytest.advocate.Case26_MS_Fuelactivitytest","setUp","setUp",""
"skipped","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case33_MS_Uploadposturetest","cuesz.membersummarytest.advocate.Case33_MS_Uploadposturetest","advocateScheduleEventTest","advocateScheduleEventTest","Verify the click on Upload postures functionlaity ."
"passed","Wed Dec 27 17:05:57 IST 2023","Wed Dec 27 17:06:29 IST 2023","31766","Suite9","Test9","cuesz.membersummarytest.advocate.Case18_MS_DotAbiltest","cuesz.membersummarytest.advocate.Case18_MS_DotAbiltest","advocatememberdotsTest","advocatememberdotsTest","Operating System: Mac OS X (Version: 14.0)"
"passed","Wed Dec 27 17:04:10 IST 2023","Wed Dec 27 17:04:55 IST 2023","45674","Suite9","Test9","cuesz.membersummarytest.advocate.Case15_MS_memberhoverdetail","cuesz.membersummarytest.advocate.Case15_MS_memberhoverdetail","advocateMemberhoverTest","advocateMemberhoverTest","Operating System: Mac OS X (Version: 14.0)"
"passed","Wed Dec 27 16:49:29 IST 2023","Wed Dec 27 16:51:11 IST 2023","101647","Suite7","Test7","cuesz.logictest.advocate.Case42_MSL_Performtest","cuesz.logictest.advocate.Case42_MSL_Performtest","advocatelogicmemberTest","advocatelogicmemberTest","Operating System: Mac OS X (Version: 14.0)"
"passed","Wed Dec 27 16:46:59 IST 2023","Wed Dec 27 16:48:29 IST 2023","89990","Suite7","Test7","cuesz.logictest.advocate.Case37_MSL_Habbitsnotestest","cuesz.logictest.advocate.Case37_MSL_Habbitsnotestest","advocatelogicmemberTest","advocatelogicmemberTest","Operating System: Mac OS X (Version: 14.0)"
"broken","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case29_MS_Editnewgoaltest","cuesz.membersummarytest.advocate.Case29_MS_Editnewgoaltest","setUp","setUp",""
"skipped","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case25_MS_Mindfulsettingtest","cuesz.membersummarytest.advocate.Case25_MS_Mindfulsettingtest","advocatemindfulsettingTest","advocatemindfulsettingTest","Verify the mindful setting functionlaity ."
"broken","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case31_MS_Avtarclicktest","cuesz.membersummarytest.advocate.Case31_MS_Avtarclicktest","setUp","setUp",""
"broken","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case25_MS_Mindfulsettingtest","cuesz.membersummarytest.advocate.Case25_MS_Mindfulsettingtest","setUp","setUp",""
"broken","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case21_MS_speherestest","cuesz.membersummarytest.advocate.Case21_MS_speherestest","tearDown","tearDown",""
"broken","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case80_MS_Sessionoutcometest","cuesz.membersummarytest.advocate.Case80_MS_Sessionoutcometest","setUp","setUp",""
"skipped","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case24_MS_Mindfulactivitytest","cuesz.membersummarytest.advocate.Case24_MS_Mindfulactivitytest","advocatemindfuldataTest","advocatemindfuldataTest","Verify the mindful dropdown features functionlaity ."
"broken","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case27_MS_Restoreactivitytest","cuesz.membersummarytest.advocate.Case27_MS_Restoreactivitytest","setUp","setUp",""
